Date,Open,High,Low,Close,Volume,Adj Close
2015-03-23,11.19,11.20,10.97,11.06,4112000,11.06
2015-03-20,11.35,11.40,10.96,11.16,9240700,11.16
2015-03-19,11.31,11.44,11.08,11.12,6235900,11.12
2015-03-18,11.07,11.40,10.87,11.21,8311000,11.21
2015-03-17,10.81,11.14,10.72,11.12,7328100,11.12
2015-03-16,11.08,11.08,10.55,10.73,9349900,10.66
2015-03-13,10.58,11.18,10.55,10.87,11551000,10.80
2015-03-12,11.05,11.14,10.69,10.85,6585300,10.78
2015-03-11,11.02,11.09,10.65,10.89,7073700,10.82
2015-03-10,10.95,11.32,10.80,11.01,14641600,10.94
2015-03-09,10.49,11.11,10.37,11.03,9666500,10.96
2015-03-06,10.58,10.62,10.29,10.59,6516000,10.52
2015-03-05,10.56,10.74,10.50,10.62,7485200,10.55
2015-03-04,9.99,10.62,9.99,10.43,13324800,10.36
2015-03-03,9.80,10.07,9.80,9.98,3574400,9.91
2015-03-02,10.09,10.20,9.84,9.85,6087200,9.79
2015-02-27,10.19,10.44,10.10,10.17,6327100,10.10
2015-02-26,10.00,10.25,9.88,10.20,4830400,10.13
2015-02-25,10.00,10.25,9.97,10.19,3296000,10.12
2015-02-24,10.11,10.22,9.99,10.10,3523800,10.03
2015-02-23,10.10,10.26,9.97,10.05,4508200,9.98
2015-02-20,10.15,10.34,10.02,10.21,4828400,10.14
2015-02-19,10.38,10.38,9.91,10.17,5276100,10.10
2015-02-18,10.21,10.49,10.21,10.32,5325900,10.25
2015-02-13,9.86,10.29,9.85,10.11,8616400,10.04
2015-02-12,10.10,10.29,9.72,9.76,5845400,9.70
2015-02-11,9.75,10.13,9.71,10.06,6880800,9.99
2015-02-10,10.15,10.42,9.74,9.74,8210300,9.68
2015-02-09,9.70,10.53,9.70,10.23,10829500,10.16
2015-02-06,9.55,9.79,9.27,9.77,4519100,9.71
2015-02-05,9.51,9.75,9.51,9.59,5075000,9.53
2015-02-04,9.64,9.88,9.47,9.59,4985700,9.53
2015-02-03,9.73,9.93,9.56,9.70,8569600,9.64
2015-02-02,9.20,9.67,9.14,9.44,7966300,9.38
2015-01-30,8.78,9.20,8.61,9.11,8488500,9.05
2015-01-29,8.75,9.15,8.75,8.91,7931500,8.85
2015-01-28,8.66,8.95,8.52,8.75,5452800,8.69
2015-01-27,8.92,8.97,8.51,8.75,6654500,8.69
2015-01-26,8.80,9.04,8.70,8.92,5075400,8.86
2015-01-23,9.15,9.36,8.87,8.91,7921200,8.85
2015-01-22,9.15,9.36,8.98,9.01,11937500,8.95
2015-01-21,9.35,9.39,8.82,9.09,11434600,9.03
2015-01-20,9.10,9.35,8.97,9.16,9969500,9.10
2015-01-19,9.39,9.58,8.78,8.96,6329800,8.90
2015-01-16,9.00,9.61,8.90,9.38,6158300,9.32
2015-01-15,8.70,9.14,8.70,8.92,9005100,8.86
2015-01-14,8.90,8.93,8.61,8.70,11046000,8.64
2015-01-13,9.47,9.77,9.10,9.10,6822700,9.04
2015-01-12,9.70,9.72,9.33,9.43,6662300,9.37
2015-01-09,10.14,10.14,9.66,9.66,6728100,9.60
2015-01-08,10.54,10.66,10.01,10.22,8509400,10.15
2015-01-07,9.95,10.43,9.92,10.42,16774200,10.35
2015-01-06,8.72,9.69,8.72,9.69,12118800,9.63
2015-01-05,9.04,9.07,8.60,8.72,6504500,8.66
2015-01-02,9.54,9.54,9.01,9.11,4990600,9.05
